13.87	44075	44045	43940	107	34731	35462	.37	27760	43955	45658	43924	915	1
43875	24838	44228	16	96	23774	12086	.26	35796	44016	43922	21610	1035	1
13.73	43952	44014	43973	101	3	45717	.29	13912	44017	43466	25965	1285	1
13.58	24108	13181	43849	106	31444	43525	.22	34700	44080	44075	32174	1515	1
13.68	30317	13181	43878	104	15373	25235	.42	35431	30742	44927	31809	990	1
13.76	19360	44014	43970	132	34731	27061	.5	12785	43926	45658	3	1235	1
13.51	44044	23774	19	110	12816	19391	.29	19725	43865	43831	31809	1095	1
13.48	29587	15008	43971	100	44014	35827	.26	31413	43835	43922	17227	920	1
13.28	23377	30713	43966	110	43984	24869	.34	13150	43986	44075	28522	880	1
43964	23743	20121	18	98	16469	15738	.29	16072	45748	44166	18660	1105	1
44025	43952	43832	43966	98	43923	23408	.28	13516	44015	43101	25235	1020	1
14.22	36220	18660	43874	128	3	43924	.2	44045	43835	.89	19419	760	1
13.56	25934	11355	43877	117	42064	47178	.34	12451	41426	.95	13940	795	1
13.41	30742	44167	44061	90	16469	24869	.27	17533	46844	.91	3	1035	1
13.88	32509	21582	15	101	45717	20515	.17	44013	15827	.88	20515	1095	1
13.24	35855	47150	43968	103	23408	23043	.32	24108	13241	.82	3	680	1
43964	28126	43832	17	107	3	3	.28	43892	43926	.88	12844	885	1
14.21	43925	16103	44092	111	31079	23774	.3	45658	45413	.87	12114	1080	1
14.38	21610	46784	16	102	45717	42795	.27	43497	44078	43922	16132	1065	1
44087	24838	44167	16	101	43833	14305	.21	41671	43836	.91	12114	985	1
43844	43863	43923	44061	103	27426	33635	.32	13912	43867	44013	27426	1060	1
13.94	26665	46419	43938	108	32174	19784	.32	44045	33086	44166	43833	1260	1
43964	26665	43923	43933	92	26330	46447	.17	33270	43868	44166	33270	1150	1
13.83	23743	43984	43878	94	16469	36192	.22	47150	43987	45292	13575	1265	1
13.82	27395	15373	14	111	32203	27089	.32	31778	43958	43831	46082	1190	1
13.77	44075	24869	43847	115	3	28887	.39	24838	43896	41275	34001	1375	1
13.74	24473	45689	43937	118	43984	44076	.21	22647	31168	.92	43864	1060	1
13.56	26665	16834	43971	116	35096	28522	.2	16469	45809	.98	43893	1120	1
14.22	44013	43892	43906	118	43864	3	.26	43892	14032	.94	11383	970	1
13.29	35431	24869	44059	102	3	44986	.31	24108	6	44013	30713	1270	1
13.72	15707	43953	44028	108	43924	24532	.19	43923	44049	.89	31809	1285	1
13850	.94	13150	43992	88	35796	.57	.28	.42	34700	43952	29952	520	2
12389	43831	46784	16	101	43953	44075	.63	.41	46447	45658	24473	680	2
23712	13150	43863	44059	100	43863	14977	.53	.62	27515	.98	21551	450	2
13.67	45658	33604	18	94	43832	28856	.32	.73	44046	44927	16834	630	2
13850	41275	42401	19	87	43954	43833	.19	31778	16528	44562	31809	420	2
43070	16438	19391	19	104	32509	27395	.45	43891	34731	16438	44958	355	2
13850	44197	20486	43848	98	15373	23774	.37	44045	43986	43466	43892	678	2
44148	43831	44013	15	78	35827	43160	.26	46784	43895	44166	43160	502	2
13850	42736	33604	44001	78	44137	2	.27	43922	24929	44166	17593	510	2
13.34	.94	13181	17	110	19391	43891	.55	.42	42795	43862	33970	750	2
44531	43466	27395	44059	151	31048	46753	.14	43953	31079	46753	44015	718	2
47453	22282	44228	43941	103	43831	43862	.37	16803	43954	.906	29952	870	2
13.86	18629	24504	25	86	34731	31444	.21	31778	13940	13150	42430	410	2
13.49	24108	45323	24	87	32143	30682	.27	43891	27089	.98	28522	472	2
36495	24473	43984	30	139	43893	32540	.21	35065	12844	11324	43954	985	2
35370	44075	43892	21	101	13940	41671	.13	23743	44256	.99	41334	886	2
24412	32143	33604	16	97	22282	20821	.34	42005	44046	44927	41671	428	2
43903	.9	25934	16	86	34700	43892	.24	16803	43986	43466	17564	392	2
30987	32540	44958	18	112	26299	11689	.43	.95	23774	.96	19025	500	2
12389	.99	34700	44057	136	44075	31048	.35	27791	43924	43983	11355	750	2
44024	31837	43923	23	101	30348	20121	.43	34700	20852	43466	41334	463	2
12	.92	2	19	86	15373	46054	.3	15707	43953	13881	44168	278	2
26634	29587	43863	44061	86	43863	19391	.26	28126	44077	42370	41699	714	2
44055	41275	18660	24	78	2	21186	.4	43922	43863	11324	26330	630	2
43964	31472	11720	43973	85	23743	21551	.61	22647	44047	.84	43832	515	2
30987	.89	21217	18	94	43863	44228	.22	12816	43954	.79	44046	520	2
24807	.98	45323	18	99	43863	34335	.3	16803	22678	44927	42430	450	2
42705	22282	11355	44065	90	28491	25204	.43	20455	16469	12055	46054	495	2
24047	24473	22678	26	88	33604	22282	.4	12420	43984	13150	44256	562	2
23682	43984	16834	44003	84	34700	25204	.48	12785	44045	1	27426	680	2
44055	12055	43892	44005	70	43863	21551	.42	13881	27030	44013	44256	625	2
44055	30317	11720	43969	81	43983	43952	.52	23377	43923	44044	46419	480	2
12	18629	15373	22	86	16438	45658	.5	23012	43985	43952	23774	450	2
25538	19360	46054	44032	80	13881	16803	.58	22647	43954	.96	43984	495	2
47453	30348	44593	18	88	16469	45689	.25	36161	42036	42005	43893	290	2
22951	36161	46784	18	98	43864	46054	.17	12785	45717	42370	35096	345	2
17502	18994	43863	19	162	43953	46419	.32	46813	43984	42370	23043	937	2
29891	44167	27061	43972	134	43983	.99	.14	20455	43953	.95	46054	625	2
47453	14977	35796	16	85	20121	43953	.29	28126	44076	44927	27061	428	2
13850	44013	43832	43969	88	19054	27454	.24	34700	43955	43922	28157	660	2
47453	42795	44228	18	88	31079	36192	.45	29618	43892	15342	30348	406	2
44055	44045	44013	43968	97	44958	42767	.26	43922	43893	46388	35096	710	2
43994	12420	44075	43969	88	16438	13150	.29	12785	16469	43922	28157	562	2
12754	16469	16834	21	98	20486	44137	.34	11324	44045	.8	13940	438	2
30256	26299	32143	43970	86	43953	23377	.37	15342	43984	.94	16103	415	2
18963	26665	35796	43971	85	43863	33604	.32	17533	34366	43922	20880	672	2
15676	20121	46419	22	90	24838	30682	.66	15342	44014	.86	43893	315	2
45992	26665	44167	19	80	23743	43892	.37	23012	43924	1	42795	510	2
26634	27395	46784	43973	84	13881	27760	.48	23012	43893	.88	15373	488	2
44896	47119	34335	19	92	13181	43923	.39	44045	44014	.86	43864	312	2
22586	12785	44014	20	94	27061	33635	.29	17930	23774	.96	46082	680	2
17107	27089	29952	43970	107	43160	21217	.24	21245	44076	.75	29618	562	2
19329	15738	42767	21	88	20121	46419	.26	44562	2	.9	28522	325	2
28065	24869	33635	20	103	27395	43892	.6	43952	44046	44927	43953	607	2
15281	.74	43953	21	88	17564	43832	.42	16072	44046	43831	11355	434	2
44055	14246	43953	43973	84	20486	47150	.43	43922	44076	.93	43525	385	2
43901	18629	43863	43972	85	16834	42767	.52	43832	44075	25934	31809	407	2
30256	17168	36161	44063	86	35796	43983	.3	19360	34700	.95	12114	495	2
15676	22282	43497	43973	108	2	44076	.34	22282	43984	43983	35096	345	2
28460	15766	35796	16	80	23012	45658	.43	.83	43924	.7	44167	372	2
12	15766	2	19	87	2	23377	.37	31778	46753	.93	43954	564	2
16742	43923	15373	20	96	44076	28887	.32	30317	45717	.8	14305	625	2
20760	43953	44986	43979	119	43160	44048	.47	31778	6	.93	25263	465	2
15676	15797	26696	43977	102	43863	41306	.43	25934	44045	.92	44168	365	2
43964	44048	41306	43972	86	22678	23774	.3	43832	43984	.73	43833	380	2
32082	11414	14277	21	82	31444	43893	.21	33270	44045	.75	23437	380	2
44024	42401	42767	21	85	43984	23774	.37	12785	27791	.86	46813	378	2
16041	19360	47150	43972	86	27061	42064	.39	28126	34394	.69	30713	352	2
29160	41306	28522	43979	92	41306	45323	.58	27760	3	.97	16103	466	2
13850	23012	43892	43975	88	44593	16469	.4	44075	44167	.89	28522	342	2
43933	43894	13912	22	80	43832	27395	.42	12785	43984	.79	20852	580	2
31747	12785	11720	18	122	18629	45658	.21	.94	43834	.76	47119	630	3
32478	36192	43923	20	104	43891	44562	.24	.83	43926	.74	15342	530	3
29921	11355	43923	24	98	42005	44075	.27	.83	44017	.66	13150	560	3
44024	20149	13181	43972	106	44013	43862	.17	.84	5	.78	47119	600	3
18963	45292	45689	43968	85	2	.58	.6	45658	16558	.75	18629	650	3
43994	16834	43863	43969	94	22647	.66	.63	.94	43837	.73	21186	695	3
45992	26390	19756	21	89	13881	.47	.53	.8	31107	.75	46388	720	3
19694	18749	23408	25	96	28856	.6	.63	43831	5	.82	25204	515	3
13.49	21610	43497	43970	88	22647	.48	.58	.88	44017	.81	29952	580	3
31017	35096	22313	24	101	11720	.6	.53	.81	33695	.89	42036	590	3
34304	29618	44014	21	96	19725	.5	.53	.75	43986	.77	11355	600	3
13.36	20486	12816	20	89	43922	.5	.37	.64	43987	.7	17199	780	3
13.52	42795	26330	43974	97	20090	.52	.5	.55	12875	.89	43984	520	3
13.62	34790	12816	20	92	2	.8	.47	43862	43925	.91	43953	550	3
45992	32203	43863	43969	112	13881	.78	.29	41640	44409	.65	2	855	3
13.16	20880	42036	21	102	43952	.55	.43	43891	4	.6	24838	830	3
13.88	43926	44958	20	80	.98	.34	.4	.68	44078	.58	12055	415	3
32112	22372	17564	43972	86	44013	.65	.47	.86	23924	.54	31413	625	3
13.32	45352	13912	43972	92	33970	.76	.45	45658	15554	.55	22647	650	3
44056	44077	13181	43972	113	14977	14246	.34	41640	14855	.57	12055	550	3
43964	44168	22678	24	123	43922	20821	.22	45658	22129	.59	43891	500	3
29190	24504	17564	22	112	17533	13150	.24	46023	44053	.48	17168	480	3
44148	44075	27426	43976	116	43863	46753	.26	20455	43837	.61	12055	425	3
13.23	43893	46784	43969	98	44044	.83	.61	31778	19268	.56	18629	675	3
21520	47119	43832	20	103	17533	.58	.53	43922	43989	.58	20090	640	3
13.17	43586	11720	22	93	27030	.63	.61	20090	44081	.6	17533	725	3
13.84	44169	13912	43970	89	44044	.83	.48	20455	43839	.57	23377	480	3
16772	43893	23408	27	97	44075	.58	.63	41640	43958	.67	26665	880	3
14.34	24838	44014	25	98	44045	11324	.53	44014	13	.57	35065	660	3
13.48	24473	23408	43973	89	43984	43831	.52	47150	27699	.57	28491	620	3
13485	30376	13912	21	88	43892	.92	.5	43922	23924	.56	21186	520	3
13.69	46082	19756	20	107	30317	.56	.5	.8	32264	.96	29952	680	3
31382	46447	21217	22	106	23743	.6	.6	.96	21306	.87	44137	570	3
35400	16497	12816	43969	106	14246	.7	.4	.94	46874	.68	27395	675	3
13.78	27791	43892	22	90	12785	.68	.41	43891	21429	.7	24838	615	3
13.73	13241	46054	43973	88	46753	.47	.52	42005	22798	.78	27395	520	3
13.45	44015	43984	23	111	44013	.92	.43	16803	25112	.85	20455	695	3
30286	13575	43892	43970	88	17533	.66	.4	.97	46296	.72	27395	685	3
13.58	21217	25235	43975	105	20090	.84	.39	19725	24320	.74	44044	750	3
43934	43986	31444	25	112	35796	.96	.27	44136	43959	.67	33604	630	3
43873	43893	11720	19	96	45658	.49	.4	.73	43956	.66	30317	510	3
28460	14277	46784	43970	86	14246	.51	.48	.64	9899999	.57	23012	470	3
14.16	18660	17564	20	91	24838	.7	.44	45292	44021	.62	25934	660	3
13.71	23863	16469	43971	95	24838	.61	.52	43983	44019	.64	27030	740	3
43934	33298	17564	23	102	44044	.75	.43	14977	43897	.7	20455	750	3
13.27	46844	46054	20	120	21551	.69	.43	12785	43871	.59	20455	835	3
13.17	21582	13547	20	120	23743	.68	.53	16803	43899	.6	22647	840	3
14.13	43834	27061	43975	96	43953	.76	.56	12785	43870	.61	43983	560	3
